Advent of Code 2024
Day 3: Mull It Over
including 982 x 733
including 700 x 428
Found don't. incl now=False
skipping 395 x 45
skipping 328 x 373
skipping 139 x 254
skipping 719 x 688
skipping 616 x 640
skipping 666 x 309
skipping 889 x 261
skipping 364 x 750
skipping 911 x 969
skipping 360 x 631
skipping 692 x 527
skipping 823 x 512
Found don't. incl now=False
skipping 345 x 427
Found do. incl now=True
including 394 x 662
including 903 x 277
including 249 x 126
including 823 x 356
including 257 x 129
including 571 x 713
including 230 x 759
including 978 x 804
Found don't. incl now=False
skipping 816 x 166
skipping 946 x 526
skipping 321 x 352
skipping 233 x 433
skipping 247 x 132
skipping 104 x 931
skipping 587 x 547
skipping 267 x 595
skipping 834 x 996
skipping 172 x 45
skipping 3 x 396
skipping 406 x 706
skipping 209 x 557
skipping 716 x 930
skipping 92 x 580
skipping 538 x 570
skipping 846 x 458
skipping 18 x 615
skipping 666 x 191
skipping 837 x 567
skipping 456 x 298
skipping 570 x 670
skipping 8 x 433
skipping 358 x 86
skipping 330 x 764
skipping 683 x 182
skipping 16 x 909
skipping 53 x 161
skipping 526 x 714
skipping 101 x 388
skipping 862 x 638
skipping 106 x 417
skipping 946 x 829
skipping 924 x 557
skipping 216 x 185
skipping 639 x 534
skipping 710 x 22
skipping 412 x 598
Found do. incl now=True
including 814 x 674
including 654 x 224
including 690 x 95
including 821 x 149
including 279 x 247
including 66 x 274
including 550 x 43
including 442 x 748
including 130 x 259
including 768 x 298
including 489 x 845
including 442 x 721
including 283 x 227
including 862 x 708
including 182 x 377
including 472 x 672
including 117 x 275
including 409 x 378
including 448 x 267
including 916 x 448
including 849 x 877
including 444 x 734
Found do. incl now=True
including 851 x 406
including 480 x 848
including 803 x 80
Found don't. incl now=False
skipping 482 x 344
skipping 702 x 892
skipping 552 x 653
skipping 13 x 654
skipping 247 x 264
skipping 453 x 796
skipping 201 x 343
skipping 360 x 411
skipping 657 x 810
skipping 712 x 186
skipping 241 x 637
skipping 829 x 983
skipping 388 x 384
skipping 47 x 882
Found do. incl now=True
including 796 x 344
including 460 x 350
including 38 x 82
including 402 x 61
including 159 x 67
including 618 x 693
including 5 x 516
including 632 x 327
including 363 x 380
including 696 x 848
including 129 x 10
including 545 x 776
including 25 x 979
including 448 x 493
Found do. incl now=True
including 56 x 384
including 56 x 627
including 55 x 437
Found do. incl now=True
including 831 x 13
Found don't. incl now=False
skipping 246 x 928
skipping 943 x 775
skipping 719 x 941
skipping 778 x 355
skipping 920 x 978
Found do. incl now=True
including 671 x 550
including 644 x 99
including 919 x 375
Found don't. incl now=False
skipping 714 x 919
skipping 541 x 507
skipping 692 x 759
skipping 716 x 287
skipping 665 x 820
skipping 489 x 645
skipping 815 x 720
skipping 143 x 726
skipping 320 x 590
skipping 140 x 659
skipping 935 x 172
skipping 329 x 759
skipping 771 x 773
skipping 205 x 139
skipping 666 x 493
skipping 54 x 372
skipping 150 x 695
skipping 824 x 679
skipping 918 x 54
skipping 227 x 267
skipping 327 x 164
skipping 154 x 571
skipping 97 x 247
skipping 219 x 849
skipping 279 x 307
skipping 252 x 873
skipping 794 x 964
skipping 970 x 980
skipping 660 x 809
skipping 231 x 259
skipping 362 x 200
skipping 259 x 30
skipping 544 x 795
skipping 214 x 556
skipping 947 x 774
skipping 680 x 458
skipping 757 x 805
skipping 995 x 465
skipping 983 x 88
skipping 916 x 941
skipping 810 x 850
skipping 280 x 570
skipping 902 x 355
skipping 330 x 330
skipping 732 x 634
skipping 651 x 307
skipping 365 x 883
skipping 740 x 308
skipping 28 x 478
skipping 884 x 943
Found don't. incl now=False
skipping 180 x 509
Found don't. incl now=False
skipping 323 x 697
skipping 607 x 982
skipping 934 x 196
skipping 879 x 438
skipping 791 x 603
skipping 563 x 458
Found don't. incl now=False
skipping 621 x 647
Found don't. incl now=False
skipping 783 x 70
skipping 601 x 782
skipping 132 x 385
skipping 639 x 263
skipping 424 x 281
skipping 579 x 859
skipping 826 x 812
skipping 28 x 383
skipping 274 x 484
skipping 662 x 327
Found don't. incl now=False
skipping 616 x 457
skipping 451 x 71
skipping 115 x 724
skipping 594 x 997
skipping 303 x 552
skipping 481 x 190
skipping 656 x 796
skipping 195 x 147
skipping 405 x 286
skipping 207 x 366
skipping 834 x 202
skipping 860 x 487
skipping 766 x 862
skipping 458 x 470
skipping 852 x 979
skipping 983 x 451
Found don't. incl now=False
skipping 65 x 670
skipping 580 x 896
skipping 384 x 20
skipping 309 x 125
skipping 326 x 51
skipping 493 x 525
skipping 235 x 832
skipping 657 x 540
skipping 959 x 593
skipping 123 x 828
skipping 529 x 936
skipping 438 x 536
Found don't. incl now=False
skipping 305 x 904
skipping 906 x 489
skipping 315 x 569
skipping 565 x 343
skipping 48 x 333
skipping 787 x 786
skipping 953 x 78
skipping 252 x 932
skipping 829 x 705
skipping 130 x 990
skipping 281 x 313
skipping 809 x 672
skipping 478 x 222
skipping 576 x 270
skipping 647 x 213
skipping 715 x 605
skipping 48 x 786
Found don't. incl now=False
skipping 392 x 859
skipping 277 x 939
skipping 504 x 200
skipping 187 x 846
skipping 688 x 788
skipping 530 x 75
skipping 891 x 102
skipping 803 x 887
skipping 89 x 939
skipping 710 x 53
skipping 270 x 677
skipping 502 x 530
skipping 250 x 294
skipping 605 x 766
skipping 603 x 805
skipping 137 x 182
skipping 423 x 943
skipping 288 x 661
skipping 625 x 873
skipping 241 x 604
skipping 467 x 489
skipping 53 x 380
skipping 302 x 961
skipping 882 x 764
skipping 204 x 978
skipping 353 x 772
skipping 770 x 681
skipping 769 x 770
skipping 111 x 749
skipping 633 x 686
skipping 293 x 891
skipping 442 x 313
skipping 943 x 306
skipping 725 x 505
skipping 922 x 245
skipping 800 x 759
skipping 151 x 956
skipping 93 x 438
skipping 387 x 185
Found don't. incl now=False
skipping 554 x 415
skipping 383 x 957
skipping 454 x 823
skipping 385 x 442
skipping 596 x 203
skipping 402 x 933
skipping 73 x 911
skipping 308 x 100
skipping 114 x 356
skipping 932 x 798
skipping 432 x 183
skipping 532 x 202
skipping 713 x 848
skipping 452 x 30
skipping 605 x 245
skipping 241 x 487
skipping 668 x 60
skipping 117 x 107
skipping 115 x 580
skipping 158 x 892
skipping 959 x 22
skipping 149 x 724
skipping 303 x 721
skipping 558 x 172
skipping 263 x 92
skipping 238 x 242
Found do. incl now=True
including 942 x 451
including 734 x 792
including 474 x 602
including 22 x 992
including 13 x 956
including 943 x 628
including 766 x 222
including 415 x 153
including 954 x 996
including 677 x 121
including 392 x 160
including 369 x 43
including 279 x 718
including 966 x 999
including 778 x 211
including 582 x 577
including 729 x 837
Found don't. incl now=False
skipping 808 x 495
skipping 990 x 481
skipping 585 x 596
skipping 767 x 236
skipping 274 x 996
skipping 998 x 833
skipping 504 x 999
skipping 903 x 288
skipping 650 x 824
skipping 576 x 902
skipping 916 x 608
skipping 927 x 409
skipping 337 x 541
skipping 531 x 183
skipping 379 x 214
skipping 572 x 663
skipping 317 x 663
skipping 99 x 960
Found don't. incl now=False
skipping 791 x 694
skipping 615 x 102
skipping 514 x 759
skipping 655 x 965
skipping 159 x 259
skipping 575 x 955
skipping 483 x 798
skipping 739 x 11
skipping 893 x 732
skipping 94 x 603
skipping 505 x 569
skipping 438 x 58
skipping 23 x 492
skipping 635 x 75
skipping 975 x 209
skipping 892 x 132
skipping 852 x 368
skipping 114 x 988
skipping 985 x 558
skipping 288 x 312
skipping 336 x 716
skipping 409 x 530
skipping 961 x 243
skipping 61 x 76
skipping 743 x 240
skipping 347 x 105
skipping 617 x 589
skipping 330 x 309
skipping 370 x 215
skipping 547 x 103
skipping 965 x 253
skipping 589 x 893
skipping 324 x 608
Found don't. incl now=False
skipping 184 x 79
skipping 693 x 137
skipping 500 x 973
skipping 706 x 585
skipping 388 x 864
skipping 64 x 438
skipping 715 x 860
skipping 60 x 506
skipping 364 x 578
skipping 213 x 857
skipping 60 x 382
skipping 68 x 30
skipping 944 x 88
skipping 929 x 686
Found don't. incl now=False
skipping 181 x 275
skipping 849 x 549
skipping 377 x 304
skipping 73 x 844
Found don't. incl now=False
skipping 967 x 674
skipping 643 x 786
skipping 517 x 65
skipping 144 x 3
skipping 820 x 531
skipping 447 x 768
skipping 242 x 291
skipping 103 x 796
skipping 131 x 237
skipping 265 x 348
skipping 635 x 160
skipping 779 x 125
skipping 584 x 45
skipping 225 x 920
skipping 545 x 219
skipping 758 x 66
skipping 190 x 720
skipping 721 x 95
skipping 835 x 210
skipping 854 x 651
skipping 229 x 417
skipping 184 x 763
skipping 711 x 715
skipping 160 x 47
skipping 420 x 440
skipping 78 x 899
skipping 969 x 326
Found don't. incl now=False
skipping 926 x 149
skipping 500 x 899
skipping 246 x 886
skipping 566 x 809
skipping 618 x 578
skipping 377 x 565
skipping 340 x 80
Found do. incl now=True
including 270 x 501
including 123 x 33
including 210 x 880
including 774 x 259
including 134 x 769
including 530 x 259
including 659 x 212
including 349 x 292
including 301 x 677
Found don't. incl now=False
skipping 941 x 587
skipping 756 x 809
skipping 340 x 355
skipping 895 x 908
skipping 947 x 581
skipping 812 x 612
skipping 784 x 307
skipping 465 x 327
skipping 198 x 33
skipping 569 x 675
skipping 405 x 231
skipping 773 x 340
skipping 775 x 613
skipping 575 x 541
skipping 765 x 267
skipping 206 x 338
Found don't. incl now=False
skipping 577 x 346
skipping 364 x 159
skipping 572 x 192
skipping 979 x 469
skipping 245 x 149
skipping 379 x 423
skipping 929 x 482
Found don't. incl now=False
skipping 165 x 905
skipping 409 x 95
skipping 765 x 311
skipping 520 x 19
skipping 694 x 220
skipping 817 x 126
skipping 342 x 342
skipping 950 x 988
skipping 276 x 267
skipping 339 x 489
skipping 675 x 192
skipping 809 x 602
Found don't. incl now=False
skipping 485 x 278
skipping 625 x 974
skipping 391 x 538
skipping 592 x 401
skipping 356 x 786
skipping 257 x 900
skipping 814 x 505
skipping 220 x 248
skipping 279 x 356
skipping 339 x 563
skipping 377 x 571
skipping 85 x 545
skipping 595 x 736
skipping 585 x 773
Found don't. incl now=False
skipping 729 x 264
skipping 275 x 564
skipping 39 x 239
skipping 601 x 341
skipping 673 x 278
skipping 271 x 282
skipping 646 x 290
skipping 665 x 261
skipping 213 x 175
Found do. incl now=True
including 173 x 446
including 764 x 84
including 773 x 449
Found do. incl now=True
including 720 x 225
including 77 x 559
including 274 x 178
including 313 x 954
including 381 x 177
including 706 x 768
including 409 x 429
including 936 x 16
including 966 x 490
including 412 x 390
including 686 x 691
including 101 x 871
including 55 x 727
including 743 x 995
including 476 x 492
including 711 x 765
including 360 x 962
including 17 x 447
including 300 x 232
including 392 x 866
Found do. incl now=True
including 852 x 741
including 579 x 403
including 112 x 650
including 388 x 214
including 315 x 603
including 186 x 460
including 411 x 343
including 644 x 122
including 756 x 239
including 385 x 894
including 754 x 260
Found don't. incl now=False
skipping 351 x 612
skipping 221 x 68
skipping 162 x 403
skipping 700 x 655
skipping 130 x 206
skipping 945 x 326
skipping 937 x 671
Found do. incl now=True
including 819 x 952
including 408 x 89
including 66 x 163
including 449 x 71
including 253 x 770
including 634 x 363
including 445 x 296
